,domain,dimension,indicator,Date,value
0,ecological,climate change,co2_emissions_per_capita,2001,18.469387
1,ecological,climate change,co2_emissions_per_capita,2002,18.495451
2,ecological,climate change,co2_emissions_per_capita,2003,18.708109
3,ecological,climate change,co2_emissions_per_capita,2004,19.055769
4,ecological,climate change,co2_emissions_per_capita,2005,18.974682
5,ecological,climate change,co2_emissions_per_capita,2006,19.007372
6,ecological,climate change,co2_emissions_per_capita,2007,19.036264
7,ecological,climate change,co2_emissions_per_capita,2008,18.91755
8,ecological,climate change,co2_emissions_per_capita,2009,18.683231
9,ecological,climate change,co2_emissions_per_capita,2010,18.292547
10,ecological,climate change,co2_emissions_per_capita,2011,17.96612
11,ecological,climate change,co2_emissions_per_capita,2012,17.72246
12,ecological,climate change,co2_emissions_per_capita,2013,17.121933
13,ecological,climate change,co2_emissions_per_capita,2014,16.639103
14,ecological,climate change,co2_emissions_per_capita,2015,16.72746
15,ecological,climate change,co2_emissions_per_capita,2016,16.837934
16,ecological,climate change,co2_emissions_per_capita,2017,16.71615
17,ecological,climate change,co2_emissions_per_capita,2018,16.512163
18,ecological,climate change,co2_emissions_per_capita,2019,16.28262
19,ecological,climate change,co2_emissions_per_capita,2020,15.481285
20,ecological,climate change,co2_emissions_per_capita,2021,14.96633
21,ecological,climate change,co2_emissions_per_capita,2022,14.65893
22,ecological,climate change,co2_emissions_per_capita,2023,14.529289
23,ecological,climate change,co2_emissions_per_capita,2024,14.477199
