Entity,Code,Year,Co2_emissions_per_capita
Australia,AUS,1750,0
Australia,AUS,1760,0
Australia,AUS,1770,0
Australia,AUS,1780,0
Australia,AUS,1790,0
Australia,AUS,1800,0
Australia,AUS,1801,0
Australia,AUS,1802,0
Australia,AUS,1803,0
Australia,AUS,1804,0
Australia,AUS,1805,0.0010380000
Australia,AUS,1806,0.0028340000
Australia,AUS,1807,0.0026280000
Australia,AUS,1808,0.0032050000
Australia,AUS,1809,0.0049980000
Australia,AUS,1810,0.0048680000
Australia,AUS,1811,0.00830200
Australia,AUS,1812,0.008092000
Australia,AUS,1813,0.010139000
Australia,AUS,1814,0.012043000
Australia,AUS,1815,0.009364000
Australia,AUS,1816,0.0075620000
Australia,AUS,1817,0.0066080000
Australia,AUS,1818,0.005946000
Australia,AUS,1819,0.0109280000
Australia,AUS,1820,0.018739000
Australia,AUS,1821,0.009484000
Australia,AUS,1822,0.01180700
Australia,AUS,1823,0.014183000
Australia,AUS,1824,0.014200000
Australia,AUS,1825,0.0086450000
Australia,AUS,1826,0.019180000
Australia,AUS,1827,0.017820000
Australia,AUS,1828,0.0114450000
Australia,AUS,1829,0.018161000
Australia,AUS,1830,0.017153000
Australia,AUS,1831,0.004181000
Australia,AUS,1832,0.032435000
Australia,AUS,1833,0.03019400
Australia,AUS,1834,0.036735000
Australia,AUS,1835,0.052343000
Australia,AUS,1836,0.052141000
Australia,AUS,1837,0.06473300
Australia,AUS,1838,0.06765800
Australia,AUS,1839,0.08141700
Australia,AUS,1840,0.1124020
Australia,AUS,1841,0.12538600
Australia,AUS,1842,0.13876700
Australia,AUS,1843,0.08672200
Australia,AUS,1844,0.07474100
Australia,AUS,1845,0.069588000
Australia,AUS,1846,0.11710800
Australia,AUS,1847,0.11803100
Australia,AUS,1848,0.12697400
Australia,AUS,1849,0.1294980
Australia,AUS,1850,0.17997900
Australia,AUS,1851,0.16043500
Australia,AUS,1852,0.14898500
Australia,AUS,1853,0.1978760
Australia,AUS,1854,0.22047000
Australia,AUS,1855,0.23959500
Australia,AUS,1856,0.30704100
Australia,AUS,1857,0.31453500
Australia,AUS,1858,0.29910600
