Entity,Code,Year,All_fertilizers_use,Population,fert_cons_kg_per_capita
Australia,AUS,1961,481360.12,10500441,45.841895592766058
Australia,AUS,1962,468944.7,10707235,43.796993341418215
Australia,AUS,1963,544271.4,10913270,49.872439699558427
Australia,AUS,1964,698839.2,11128257,62.798621563107325
Australia,AUS,1965,780638.75,11357479,68.733453084086705
Australia,AUS,1966,813739.7,11592485,70.195449897066922
Australia,AUS,1967,797127,11810521,67.492958185333222
Australia,AUS,1968,834654.4,12030009,69.381028725747413
Australia,AUS,1969,766128.25,12272387,62.42699566107229
Australia,AUS,1970,713581.44,12599414,56.636081646336876
Australia,AUS,1971,780752.6,12997963,60.067304392234377
Australia,AUS,1972,958732.8,13304897,72.058641265693382
Australia,AUS,1973,1119360.2,13518689,82.80094319796838
Australia,AUS,1974,654967,13719499,47.73986280402805
Australia,AUS,1975,566238.94,13893988,40.754241330854747
Australia,AUS,1976,785982.56,14046758,55.954730621827473
Australia,AUS,1977,794179.1,14203511,55.914280631035517
Australia,AUS,1978,902160,14367099,62.793469996970167
Australia,AUS,1979,966239.56,14533034,66.485742756811831
Australia,AUS,1980,927683.2,14721345,63.016198587832832
Australia,AUS,1981,915568.94,14949210,61.245305939243607
Australia,AUS,1982,871797.9,15192484,57.383499630475178
Australia,AUS,1983,910650.7,15414891,59.076038876953461
Australia,AUS,1984,961673.8,15620653,61.564250867105237
Australia,AUS,1985,893630.06,15835743,56.431205027765358
Australia,AUS,1986,920659.94,16069631,57.29191541485924
Australia,AUS,1987,1060194.6,16322272,64.953861815315918
Australia,AUS,1988,1076755.4,16594104,64.887830038910195
Australia,AUS,1989,1084370,16869362,64.280439295807383
Australia,AUS,1990,920599.6,17126304,53.753547759049468
Australia,AUS,1991,1009894.25,17353191,58.196457930993787
Australia,AUS,1992,1109402.5,17549286,63.216389544281171
Australia,AUS,1993,1193147.1,17722905,67.3223210303277
Australia,AUS,1994,1351781.5,17897433,75.529351052745938
Australia,AUS,1995,1470211.2,18095340,81.248056129368109
Australia,AUS,1996,1602601.1,18305305,87.548451118405296
Australia,AUS,1997,1728679.4,18504911,93.417331215481113
Australia,AUS,1998,1799943.2,18701710,96.244846059531454
Australia,AUS,1999,1891363.1,18909980,100.01930726526417
Australia,AUS,2000,1810960.1,19132472,94.653743645881207
Australia,AUS,2001,1961845.1,19365438,101.30651834469224
Australia,AUS,2002,1802334.6,19595356,91.977640008173367
Australia,AUS,2003,1730169.2,19819449,87.296533823922147
Australia,AUS,2004,1939830.4,20046679,96.765673755737794
Australia,AUS,2005,1763902.2,20294490,86.915325292727232
Australia,AUS,2006,1645855,20590566,79.932479757962938
Australia,AUS,2007,1638393.9,20954545,78.187996923817707
Australia,AUS,2008,1499976,21370595,70.188780424691018
Australia,AUS,2009,1343087,21783014,61.657537382108828
Australia,AUS,2010,1593136.8,22141583,71.952253820334349
Australia,AUS,2011,1748892.5,22479779,77.798473908484596
Australia,AUS,2012,1781050.2,22852648,77.936272417970997
Australia,AUS,2013,1856830.1,23236271,79.910847140662113
Australia,AUS,2014,2085093.9,23595599,88.367915559168466
Australia,AUS,2015,2013803.6,23947997,84.090690340407178
Australia,AUS,2016,2194810.5,24329963,90.210186509531482
Australia,AUS,2017,2249136.2,24731044,90.943843697014984
Australia,AUS,2018,2173575.5,25119700,86.528720486311542
Australia,AUS,2019,2104415.2,25482714,82.582067200534453
Australia,AUS,2020,2603354,25743787,101.12552593757864
Australia,AUS,2021,3081760.5,25956417,118.72827054673994
Australia,AUS,2022,2740890,26200987,104.61018128820872
Australia,AUS,2023,2683790,26451126,101.46222130581512
