Entity,Code,Year,PM2.5_pollution_mean_annual_exposure_micrograms_per_cubic_meter
Australia,AUS,1990,6.4751960
Australia,AUS,1991,6.3770700
Australia,AUS,1992,6.350205
Australia,AUS,1993,6.3233400
Australia,AUS,1994,6.296476
Australia,AUS,1995,6.1270870
Australia,AUS,1996,6.242747
Australia,AUS,1997,6.2158820
Australia,AUS,1998,6.189018
Australia,AUS,1999,6.1621530
Australia,AUS,2000,6.206551
Australia,AUS,2001,6.155016
Australia,AUS,2002,6.390483
Australia,AUS,2003,6.4907670
Australia,AUS,2004,5.801138
Australia,AUS,2005,5.7155430
Australia,AUS,2006,6.034087
Australia,AUS,2007,5.9722160
Australia,AUS,2008,6.0475930
Australia,AUS,2009,6.936861
Australia,AUS,2010,5.291384
Australia,AUS,2011,5.4379670
Australia,AUS,2012,5.396649
Australia,AUS,2013,5.9675940
Australia,AUS,2014,6.0406440
Australia,AUS,2015,5.891992
Australia,AUS,2016,5.824938
Australia,AUS,2017,5.824313
Australia,AUS,2018,6.0540120
Australia,AUS,2019,9.327339
Australia,AUS,2020,6.8130480
Australia,AUS,2021,5.4818680
Australia,AUS,2022,5.3027360
Australia,AUS,2023,6.414739
