Entity,Code,Year,Methyl Chloroform,Methyl Bromide,Hydrochlorofluorocarbons (HCFCs),Carbon Tetrachloride,Halons,Chlorofluorocarbons (CFCs)
Australia,AUS,1986,0,0,0,0,4270,14290.4
Australia,AUS,1989,853.7,0,148.5,5.8,0,14292.8
Australia,AUS,1990,0,0,0,0,18,7416.4
Australia,AUS,1991,468,422.4,0,0,445.7,6811.7
Australia,AUS,1992,508.6,383.4,127.7,12.1,429.7,5556
Australia,AUS,1993,358.6,652.2,194.4,1.2,0,3409.3
Australia,AUS,1994,227.3,0,119.2,0.7,0,3894.9
Australia,AUS,1995,84.6,297.8,152.7,0.2,0,2584.7
Australia,AUS,1996,0,378.5,213.8,0.4,0,234.2
Australia,AUS,1997,0,196.2,222.3,0.5,0,183.9
Australia,AUS,1998,0,341.7,253.2,0.2,-19.5,195.1
Australia,AUS,1999,0,303.9,253.9,0,0,274.1
Australia,AUS,2000,0,270.7,219.1,0,-11.7,6.5
Australia,AUS,2001,0,200.5,157.6,0,-3.3,6
Australia,AUS,2002,0,193.8,190,0,-3.9,9.8
Australia,AUS,2003,0,109.4,168.4,0,0,1.1
Australia,AUS,2004,0,124.1,160.5,0,-33,-61.8
Australia,AUS,2005,0,71.3,151.1,0,0,-51.4
Australia,AUS,2006,0,33.2,116.2,0,0,-80
Australia,AUS,2007,0,27.5,114.1,0,0,-55
Australia,AUS,2008,0,24.6,85.7,0.1,0,-42
Australia,AUS,2009,0,20,83.6,0,0,-46.4
Australia,AUS,2010,0,20.5,53,0,-56,-23.9
Australia,AUS,2011,0,20,56.91,0,0,-30.1
Australia,AUS,2012,0,19.6,31.89,0,-69.8,-15.2
Australia,AUS,2013,0,18.9,37.22,0,0,-7.5
Australia,AUS,2014,0,18.3,6.4,0,0,-14.6
Australia,AUS,2015,0,17.9,8.19,0,0,-8.9
Australia,AUS,2016,0,17.9,0.58,0,0,-7.2
Australia,AUS,2017,0,17.9,0.12,0,0,-7.5
Australia,AUS,2018,0,17.8,1.01,0,0,-1.4
Australia,AUS,2019,0,17.4,0.74,0,-0.3,-3
Australia,AUS,2020,0,17.5,0.64,0,0,-2.1
Australia,AUS,2021,0,16.9,-2.94,0,-0.3,-5.7
