domain,dimension,indicator,Date,value,boundary
ecological,climate change,co2_emissions_per_capita,2001,18.469387,0.95
ecological,climate change,co2_emissions_per_capita,2002,18.495451,0.95
ecological,climate change,co2_emissions_per_capita,2003,18.708109,0.95
ecological,climate change,co2_emissions_per_capita,2004,19.055769,0.95
ecological,climate change,co2_emissions_per_capita,2005,18.974682,0.95
ecological,climate change,co2_emissions_per_capita,2006,19.007372,0.95
ecological,climate change,co2_emissions_per_capita,2007,19.036264,0.95
ecological,climate change,co2_emissions_per_capita,2008,18.91755,0.95
ecological,climate change,co2_emissions_per_capita,2009,18.683231,0.95
ecological,climate change,co2_emissions_per_capita,2010,18.292547,0.95
ecological,climate change,co2_emissions_per_capita,2011,17.96612,0.95
ecological,climate change,co2_emissions_per_capita,2012,17.72246,0.95
ecological,climate change,co2_emissions_per_capita,2013,17.121933,0.95
ecological,climate change,co2_emissions_per_capita,2014,16.639103,0.95
ecological,climate change,co2_emissions_per_capita,2015,16.72746,0.95
ecological,climate change,co2_emissions_per_capita,2016,16.837934,0.95
ecological,climate change,co2_emissions_per_capita,2017,16.71615,0.95
ecological,climate change,co2_emissions_per_capita,2018,16.512163,0.95
ecological,climate change,co2_emissions_per_capita,2019,16.28262,0.95
ecological,climate change,co2_emissions_per_capita,2020,15.481285,0.95
ecological,climate change,co2_emissions_per_capita,2021,14.96633,0.95
ecological,climate change,co2_emissions_per_capita,2022,14.65893,0.95
ecological,climate change,co2_emissions_per_capita,2023,14.529289,0.95
ecological,climate change,co2_emissions_per_capita,2024,14.477199,0.95
