domain,dimension,indicator,Date,value,boundary
ecological,ocean acidification,omega_a,2015,2.3828997319034855,2.7520000000000002
ecological,ocean acidification,omega_a,2016,2.6397502060439564,2.7520000000000002
ecological,ocean acidification,omega_a,2017,2.4979392857142857,2.7520000000000002
ecological,ocean acidification,omega_a,2018,2.8282697611425753,2.7520000000000002
ecological,ocean acidification,omega_a,2019,2.5440297248182766,2.7520000000000002
ecological,ocean acidification,omega_a,2020,2.7038300984866686,2.7520000000000002
ecological,ocean acidification,omega_a,2021,2.667796674311927,2.7520000000000002
ecological,ocean acidification,omega_a,2022,2.934989877675841,2.7520000000000002
ecological,ocean acidification,omega_a,2023,2.2233300624770305,2.7520000000000002
ecological,ocean acidification,omega_a,2024,2.516188314987299,2.7520000000000002
ecological,ocean acidification,omega_a,2025,2.523889363957597,2.7520000000000002
