domain,dimension,indicator,Date,value,boundary
ecological,Nutrient Pollution,fertilizer_cons_kg_per_capita,2000,94.6537436458812,8.5
ecological,Nutrient Pollution,fertilizer_cons_kg_per_capita,2001,101.30651834469224,8.5
ecological,Nutrient Pollution,fertilizer_cons_kg_per_capita,2002,91.97764000817337,8.5
ecological,Nutrient Pollution,fertilizer_cons_kg_per_capita,2003,87.29653382392215,8.5
ecological,Nutrient Pollution,fertilizer_cons_kg_per_capita,2004,96.7656737557378,8.5
ecological,Nutrient Pollution,fertilizer_cons_kg_per_capita,2005,86.91532529272723,8.5
ecological,Nutrient Pollution,fertilizer_cons_kg_per_capita,2006,79.93247975796294,8.5
ecological,Nutrient Pollution,fertilizer_cons_kg_per_capita,2007,78.18799692381769,8.5
ecological,Nutrient Pollution,fertilizer_cons_kg_per_capita,2008,70.18878042469102,8.5
ecological,Nutrient Pollution,fertilizer_cons_kg_per_capita,2009,61.65753738210882,8.5
ecological,Nutrient Pollution,fertilizer_cons_kg_per_capita,2010,71.95225382033435,8.5
ecological,Nutrient Pollution,fertilizer_cons_kg_per_capita,2011,77.7984739084846,8.5
ecological,Nutrient Pollution,fertilizer_cons_kg_per_capita,2012,77.936272417971,8.5
ecological,Nutrient Pollution,fertilizer_cons_kg_per_capita,2013,79.91084714066211,8.5
ecological,Nutrient Pollution,fertilizer_cons_kg_per_capita,2014,88.36791555916847,8.5
ecological,Nutrient Pollution,fertilizer_cons_kg_per_capita,2015,84.09069034040716,8.5
ecological,Nutrient Pollution,fertilizer_cons_kg_per_capita,2016,90.21018650953148,8.5
ecological,Nutrient Pollution,fertilizer_cons_kg_per_capita,2017,90.94384369701497,8.5
ecological,Nutrient Pollution,fertilizer_cons_kg_per_capita,2018,86.52872048631154,8.5
ecological,Nutrient Pollution,fertilizer_cons_kg_per_capita,2019,82.58206720053445,8.5
ecological,Nutrient Pollution,fertilizer_cons_kg_per_capita,2020,101.12552593757864,8.5
ecological,Nutrient Pollution,fertilizer_cons_kg_per_capita,2021,118.72827054673994,8.5
ecological,Nutrient Pollution,fertilizer_cons_kg_per_capita,2022,104.61018128820872,8.5
ecological,Nutrient Pollution,fertilizer_cons_kg_per_capita,2023,101.46222130581512,8.5
