domain,dimension,indicator,Date,value,boundary
ecological,Land Conversion,perc_land_forest_area,2001,17.128633,22.5
ecological,Land Conversion,perc_land_forest_area,2002,17.099111,22.5
ecological,Land Conversion,perc_land_forest_area,2003,17.069589,22.5
ecological,Land Conversion,perc_land_forest_area,2004,17.040066,22.5
ecological,Land Conversion,perc_land_forest_area,2005,17.010544,22.5
ecological,Land Conversion,perc_land_forest_area,2006,16.981021,22.5
ecological,Land Conversion,perc_land_forest_area,2007,16.951499,22.5
ecological,Land Conversion,perc_land_forest_area,2008,16.921976,22.5
ecological,Land Conversion,perc_land_forest_area,2009,16.892454,22.5
ecological,Land Conversion,perc_land_forest_area,2010,16.862932,22.5
ecological,Land Conversion,perc_land_forest_area,2011,16.95531,22.5
ecological,Land Conversion,perc_land_forest_area,2012,17.047689,22.5
ecological,Land Conversion,perc_land_forest_area,2013,17.140067,22.5
ecological,Land Conversion,perc_land_forest_area,2014,17.232446,22.5
ecological,Land Conversion,perc_land_forest_area,2015,17.324825,22.5
ecological,Land Conversion,perc_land_forest_area,2016,17.425488,22.5
ecological,Land Conversion,perc_land_forest_area,2017,17.422914,22.5
ecological,Land Conversion,perc_land_forest_area,2018,17.421315,22.5
ecological,Land Conversion,perc_land_forest_area,2019,17.421315,22.5
ecological,Land Conversion,perc_land_forest_area,2020,17.421315,22.5
ecological,Land Conversion,perc_land_forest_area,2021,17.421315,22.5
ecological,Land Conversion,perc_land_forest_area,2022,17.421315,22.5
ecological,Land Conversion,perc_land_forest_area,2023,17.421315,22.5
