domain,dimension,indicator,Date,value,boundary
ecological,Material Footprint,material_footprint,2000,33.2517,8.300000000000002
ecological,Material Footprint,material_footprint,2001,34.5897,8.200000000000003
ecological,Material Footprint,material_footprint,2002,34.9966,8.100000000000003
ecological,Material Footprint,material_footprint,2003,38.2272,8.000000000000004
ecological,Material Footprint,material_footprint,2004,40.5506,7.900000000000004
ecological,Material Footprint,material_footprint,2005,41.7304,7.800000000000004
ecological,Material Footprint,material_footprint,2006,41.6703,7.700000000000005
ecological,Material Footprint,material_footprint,2007,42.2755,7.600000000000005
ecological,Material Footprint,material_footprint,2008,35.6241,7.500000000000005
ecological,Material Footprint,material_footprint,2009,36.4525,7.400000000000006
ecological,Material Footprint,material_footprint,2010,37.6499,7.300000000000006
ecological,Material Footprint,material_footprint,2011,36.9646,7.200000000000006
ecological,Material Footprint,material_footprint,2012,36.1518,7.100000000000007
ecological,Material Footprint,material_footprint,2013,34.0362,7.000000000000007
ecological,Material Footprint,material_footprint,2014,34.1449,6.9000000000000075
ecological,Material Footprint,material_footprint,2015,32.2598,6.800000000000008
ecological,Material Footprint,material_footprint,2016,31.9522,6.700000000000008
ecological,Material Footprint,material_footprint,2017,34.0499,6.6000000000000085
ecological,Material Footprint,material_footprint,2018,33.3585,6.500000000000009
ecological,Material Footprint,material_footprint,2019,33.2981,6.400000000000009
ecological,Material Footprint,material_footprint,2020,31.2669,6.30000000000001
ecological,Material Footprint,material_footprint,2021,31.9297,6.20000000000001
ecological,Material Footprint,material_footprint,2022,31.6493,6.10000000000001
ecological,Material Footprint,material_footprint,2023,31.4649,6.000000000000011
ecological,Material Footprint,material_footprint,2024,31.1222,5.900000000000011
