domain,dimension,indicator,Date,value,boundary
ecological,Ozone Layer Depletion,ozone_depleting_subst_consump,2000,484.59999999999997,0
ecological,Ozone Layer Depletion,ozone_depleting_subst_consump,2001,360.8,0
ecological,Ozone Layer Depletion,ozone_depleting_subst_consump,2002,389.70000000000005,0
ecological,Ozone Layer Depletion,ozone_depleting_subst_consump,2003,278.90000000000003,0
ecological,Ozone Layer Depletion,ozone_depleting_subst_consump,2004,189.8,0
ecological,Ozone Layer Depletion,ozone_depleting_subst_consump,2005,170.99999999999997,0
ecological,Ozone Layer Depletion,ozone_depleting_subst_consump,2006,69.4,0
ecological,Ozone Layer Depletion,ozone_depleting_subst_consump,2007,86.6,0
ecological,Ozone Layer Depletion,ozone_depleting_subst_consump,2008,68.4,0
ecological,Ozone Layer Depletion,ozone_depleting_subst_consump,2009,57.199999999999996,0
ecological,Ozone Layer Depletion,ozone_depleting_subst_consump,2010,-6.399999999999999,0
ecological,Ozone Layer Depletion,ozone_depleting_subst_consump,2011,46.809999999999995,0
ecological,Ozone Layer Depletion,ozone_depleting_subst_consump,2012,-33.50999999999999,0
ecological,Ozone Layer Depletion,ozone_depleting_subst_consump,2013,48.62,0
ecological,Ozone Layer Depletion,ozone_depleting_subst_consump,2014,10.100000000000003,0
ecological,Ozone Layer Depletion,ozone_depleting_subst_consump,2015,17.189999999999998,0
ecological,Ozone Layer Depletion,ozone_depleting_subst_consump,2016,11.279999999999998,0
ecological,Ozone Layer Depletion,ozone_depleting_subst_consump,2017,10.52,0
ecological,Ozone Layer Depletion,ozone_depleting_subst_consump,2018,17.410000000000004,0
ecological,Ozone Layer Depletion,ozone_depleting_subst_consump,2019,14.839999999999996,0
ecological,Ozone Layer Depletion,ozone_depleting_subst_consump,2020,16.04,0
ecological,Ozone Layer Depletion,ozone_depleting_subst_consump,2021,7.959999999999998,0
