domain,dimension,indicator,Date,value,boundary
ecological,Air Polution,Mean annual exposure cubic micrograms PM2.5,2000,6.206551,5
ecological,Air Polution,Mean annual exposure cubic micrograms PM2.5,2001,6.155016,5
ecological,Air Polution,Mean annual exposure cubic micrograms PM2.5,2002,6.390483,5
ecological,Air Polution,Mean annual exposure cubic micrograms PM2.5,2003,6.490767,5
ecological,Air Polution,Mean annual exposure cubic micrograms PM2.5,2004,5.801138,5
ecological,Air Polution,Mean annual exposure cubic micrograms PM2.5,2005,5.715543,5
ecological,Air Polution,Mean annual exposure cubic micrograms PM2.5,2006,6.034087,5
ecological,Air Polution,Mean annual exposure cubic micrograms PM2.5,2007,5.972216,5
ecological,Air Polution,Mean annual exposure cubic micrograms PM2.5,2008,6.047593,5
ecological,Air Polution,Mean annual exposure cubic micrograms PM2.5,2009,6.936861,5
ecological,Air Polution,Mean annual exposure cubic micrograms PM2.5,2010,5.291384,5
ecological,Air Polution,Mean annual exposure cubic micrograms PM2.5,2011,5.437967,5
ecological,Air Polution,Mean annual exposure cubic micrograms PM2.5,2012,5.396649,5
ecological,Air Polution,Mean annual exposure cubic micrograms PM2.5,2013,5.967594,5
ecological,Air Polution,Mean annual exposure cubic micrograms PM2.5,2014,6.040644,5
ecological,Air Polution,Mean annual exposure cubic micrograms PM2.5,2015,5.891992,5
ecological,Air Polution,Mean annual exposure cubic micrograms PM2.5,2016,5.824938,5
ecological,Air Polution,Mean annual exposure cubic micrograms PM2.5,2017,5.824313,5
ecological,Air Polution,Mean annual exposure cubic micrograms PM2.5,2018,6.054012,5
ecological,Air Polution,Mean annual exposure cubic micrograms PM2.5,2019,9.327339,5
ecological,Air Polution,Mean annual exposure cubic micrograms PM2.5,2020,6.813048,5
ecological,Air Polution,Mean annual exposure cubic micrograms PM2.5,2021,5.481868,5
ecological,Air Polution,Mean annual exposure cubic micrograms PM2.5,2022,5.302736,5
ecological,Air Polution,Mean annual exposure cubic micrograms PM2.5,2023,6.414739,5
