Entity,Code,Year,Palma ratio (before tax)
Australia,AUS,1910,5.694761
Australia,AUS,1930,3.167478
Australia,AUS,1940,3.4394395
Australia,AUS,1950,3.3376622
Australia,AUS,1951,2.544186
Australia,AUS,1952,2.5
Australia,AUS,1953,2.4557195
Australia,AUS,1954,2.407509
Australia,AUS,1955,2.368277
Australia,AUS,1956,2.399817
Australia,AUS,1957,2.1858568
Australia,AUS,1958,2.8687441
Australia,AUS,1959,2.651852
Australia,AUS,1960,2.6269622
Australia,AUS,1961,2.6351852
Australia,AUS,1962,2.7132146
Australia,AUS,1963,2.7714825
Australia,AUS,1964,2.6589434
Australia,AUS,1965,2.6104972
Australia,AUS,1966,2.4945652
Australia,AUS,1967,2.520436
Australia,AUS,1968,2.4720721
Australia,AUS,1969,2.4133334
Australia,AUS,1970,2.378761
Australia,AUS,1971,2.448556
Australia,AUS,1972,2.372671
Australia,AUS,1973,2.269331
Australia,AUS,1974,2.1543052
Australia,AUS,1975,2.0754876
Australia,AUS,1976,2.014214
Australia,AUS,1977,2.01841
Australia,AUS,1978,2.0050125
Australia,AUS,1979,2.0581298
Australia,AUS,1980,2.1184995
Australia,AUS,1981,2.116994
Australia,AUS,1982,2.1836379
Australia,AUS,1983,2.127678
Australia,AUS,1984,2.1716738
Australia,AUS,1985,2.2076125
Australia,AUS,1986,2.3224382
Australia,AUS,1987,2.547532
Australia,AUS,1988,2.7602997
Australia,AUS,1989,2.4624329
Australia,AUS,1990,2.3889875
Australia,AUS,1991,2.6001759
Australia,AUS,1992,2.498719
Australia,AUS,1993,2.6210527
Australia,AUS,1994,2.7016919
Australia,AUS,1995,2.7391305
Australia,AUS,1996,2.695122
Australia,AUS,1997,2.696889
Australia,AUS,1998,2.83227
Australia,AUS,1999,2.8842592
Australia,AUS,2000,2.958256
Australia,AUS,2001,2.7742782
Australia,AUS,2002,3.093839
Australia,AUS,2003,2.9351935
Australia,AUS,2004,2.9963996
Australia,AUS,2005,3.1633804
Australia,AUS,2006,3.1616821
Australia,AUS,2007,3.0923913
Australia,AUS,2008,3.261407
Australia,AUS,2009,3.2014585
Australia,AUS,2010,3.1873858
Australia,AUS,2011,3.1809955
Australia,AUS,2012,3.2065814
Australia,AUS,2013,3.2390697
Australia,AUS,2014,3.2247918
Australia,AUS,2015,3.2682464
Australia,AUS,2016,3.1710527
Australia,AUS,2017,3.2507095
Australia,AUS,2018,3.0972476
Australia,AUS,2019,3.1432664
Australia,AUS,2020,3.1133456
Australia,AUS,2021,3.2939534
Australia,AUS,2022,3.3273416
