STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency,SERIES,SDG Series,REF_AREA,Area,SEX,Sex,AGE,Age,ACTIVITY,Economic activity,PRODUCT,Products,BIOCLIMATIC_BELT,Bioclimatic Belt,UNIT_MEASURE,Unit measure,URBANISATION,Urbanisation,LAND_COVER,Land Cover,PRICE_SEVERITY_LEVEL,Severity of price level,TIME_PERIOD,Time Period,OBS_VALUE,Value,UNIT_MULT,Unit multiplier,OBS_STATUS,Observation status,BASE_PER,Base period,NATURE,Nature of data points,TIME_DETAIL,Time detail,COMMENT_OBS,Comment,UPPER_BOUND,Upper bound,LOWER_BOUND,Lower bound,SOURCE_DETAIL,Source,INDICATOR,Indicator,REF_AREA_ISO2,ISO2,REF_AREA_ISO3,ISO3,REF_AREA_TYPE,Reference area type,REF_PERIOD,Reference Period
DATAFLOW,FAO:DF_SDG_2_1_2(1.0),"Indicator 2.1.2 Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale",I,A,Annual,AG_PRD_FIESMS,Prevalence of moderate or severe food insecurity in the population [2.1.2],036,Australia,_T,Both sexes or no breakdown by sex,_T,All age ranges or no breakdown by age,_T,No breakdown,_T,Total,_T,Total,PT,Percent,_T,Total,_T,No breakdown,_T,No breakdown,2025,,,,0,Units,O,Missing value,,,_X,Not Available,2024-2026,,NaN = A figure was not provided,,,,,,NA,,2.1.2,,AU,,AUS,,3,,,
DATAFLOW,FAO:DF_SDG_2_1_2(1.0),"Indicator 2.1.2 Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale",I,A,Annual,AG_PRD_FIESMS,Prevalence of moderate or severe food insecurity in the population [2.1.2],036,Australia,_T,Both sexes or no breakdown by sex,_T,All age ranges or no breakdown by age,_T,No breakdown,_T,Total,_T,Total,PT,Percent,_T,Total,_T,No breakdown,_T,No breakdown,2024,,15.1,,0,Units,E,Estimated value,,,E,Estimated,2023-2025,,3-year average of the period 2023-2025.,,17.1,,13.2,,Food and Agriculture Organization of the United Nations (FAO),,2.1.2,,AU,,AUS,,3,,,
DATAFLOW,FAO:DF_SDG_2_1_2(1.0),"Indicator 2.1.2 Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale",I,A,Annual,AG_PRD_FIESMS,Prevalence of moderate or severe food insecurity in the population [2.1.2],036,Australia,_T,Both sexes or no breakdown by sex,_T,All age ranges or no breakdown by age,_T,No breakdown,_T,Total,_T,Total,PT,Percent,_T,Total,_T,No breakdown,_T,No breakdown,2019,,12.3,,0,Units,E,Estimated value,,,E,Estimated,2018-2020,,3-year average of the period 2018-2020.,,14.6,,10,,Food and Agriculture Organization of the United Nations (FAO),,2.1.2,,AU,,AUS,,3,,,
DATAFLOW,FAO:DF_SDG_2_1_2(1.0),"Indicator 2.1.2 Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale",I,A,Annual,AG_PRD_FIESMS,Prevalence of moderate or severe food insecurity in the population [2.1.2],036,Australia,_T,Both sexes or no breakdown by sex,_T,All age ranges or no breakdown by age,_T,No breakdown,_T,Total,_T,Total,PT,Percent,_T,Total,_T,No breakdown,_T,No breakdown,2016,,11.8,,0,Units,E,Estimated value,,,E,Estimated,2015-2017,,3-year average of the period 2015-2017.,,14,,9.5,,Food and Agriculture Organization of the United Nations (FAO),,2.1.2,,AU,,AUS,,3,,,
DATAFLOW,FAO:DF_SDG_2_1_2(1.0),"Indicator 2.1.2 Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale",I,A,Annual,AG_PRD_FIESMS,Prevalence of moderate or severe food insecurity in the population [2.1.2],036,Australia,_T,Both sexes or no breakdown by sex,_T,All age ranges or no breakdown by age,_T,No breakdown,_T,Total,_T,Total,PT,Percent,_T,Total,_T,No breakdown,_T,No breakdown,2015,,10.8,,0,Units,E,Estimated value,,,E,Estimated,2014-2016,,3-year average of the period 2014-2016.,,12.8,,8.7,,Food and Agriculture Organization of the United Nations (FAO),,2.1.2,,AU,,AUS,,3,,,
DATAFLOW,FAO:DF_SDG_2_1_2(1.0),"Indicator 2.1.2 Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale",I,A,Annual,AG_PRD_FIESMS,Prevalence of moderate or severe food insecurity in the population [2.1.2],036,Australia,_T,Both sexes or no breakdown by sex,_T,All age ranges or no breakdown by age,_T,No breakdown,_T,Total,_T,Total,PT,Percent,_T,Total,_T,No breakdown,_T,No breakdown,2017,,12.7,,0,Units,E,Estimated value,,,E,Estimated,2016-2018,,3-year average of the period 2016-2018.,,15.1,,10.3,,Food and Agriculture Organization of the United Nations (FAO),,2.1.2,,AU,,AUS,,3,,,
DATAFLOW,FAO:DF_SDG_2_1_2(1.0),"Indicator 2.1.2 Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale",I,A,Annual,AG_PRD_FIESMS,Prevalence of moderate or severe food insecurity in the population [2.1.2],036,Australia,_T,Both sexes or no breakdown by sex,_T,All age ranges or no breakdown by age,_T,No breakdown,_T,Total,_T,Total,PT,Percent,_T,Total,_T,No breakdown,_T,No breakdown,2018,,13.3,,0,Units,E,Estimated value,,,E,Estimated,2017-2019,,3-year average of the period 2017-2019.,,15.8,,10.8,,Food and Agriculture Organization of the United Nations (FAO),,2.1.2,,AU,,AUS,,3,,,
DATAFLOW,FAO:DF_SDG_2_1_2(1.0),"Indicator 2.1.2 Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale",I,A,Annual,AG_PRD_FIESMS,Prevalence of moderate or severe food insecurity in the population [2.1.2],036,Australia,_T,Both sexes or no breakdown by sex,_T,All age ranges or no breakdown by age,_T,No breakdown,_T,Total,_T,Total,PT,Percent,_T,Total,_T,No breakdown,_T,No breakdown,2023,,13.8,,0,Units,E,Estimated value,,,E,Estimated,2022-2024,,3-year average of the period 2022-2024.,,15.8,,11.9,,Food and Agriculture Organization of the United Nations (FAO),,2.1.2,,AU,,AUS,,3,,,
DATAFLOW,FAO:DF_SDG_2_1_2(1.0),"Indicator 2.1.2 Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale",I,A,Annual,AG_PRD_FIESMS,Prevalence of moderate or severe food insecurity in the population [2.1.2],036,Australia,_T,Both sexes or no breakdown by sex,_T,All age ranges or no breakdown by age,_T,No breakdown,_T,Total,_T,Total,PT,Percent,_T,Total,_T,No breakdown,_T,No breakdown,2020,,11.9,,0,Units,E,Estimated value,,,E,Estimated,2019-2021,,3-year average of the period 2019-2021.,,13.9,,10,,Food and Agriculture Organization of the United Nations (FAO),,2.1.2,,AU,,AUS,,3,,,
DATAFLOW,FAO:DF_SDG_2_1_2(1.0),"Indicator 2.1.2 Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale",I,A,Annual,AG_PRD_FIESMS,Prevalence of moderate or severe food insecurity in the population [2.1.2],036,Australia,_T,Both sexes or no breakdown by sex,_T,All age ranges or no breakdown by age,_T,No breakdown,_T,Total,_T,Total,PT,Percent,_T,Total,_T,No breakdown,_T,No breakdown,2021,,11.4,,0,Units,E,Estimated value,,,E,Estimated,2020-2022,,3-year average of the period 2020-2022.,,13.2,,9.6,,Food and Agriculture Organization of the United Nations (FAO),,2.1.2,,AU,,AUS,,3,,,
