STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency,SERIES,SDG Series,REF_AREA,Area,SEX,Sex,AGE,Age,ACTIVITY,Economic activity,PRODUCT,Products,BIOCLIMATIC_BELT,Bioclimatic Belt,UNIT_MEASURE,Unit measure,URBANISATION,Urbanisation,LAND_COVER,Land Cover,PRICE_SEVERITY_LEVEL,Severity of price level,TIME_PERIOD,Time Period,OBS_VALUE,Value,UNIT_MULT,Unit multiplier,OBS_STATUS,Observation status,BASE_PER,Base period,NATURE,Nature of data points,TIME_DETAIL,Time detail,COMMENT_OBS,Comment,UPPER_BOUND,Upper bound,LOWER_BOUND,Lower bound,SOURCE_DETAIL,Source,INDICATOR,Indicator,REF_AREA_ISO2,ISO2,REF_AREA_ISO3,ISO3,REF_AREA_TYPE,Reference area type,REF_PERIOD,Reference Period
DATAFLOW,FAO:DF_SDG_2_1_1(1.0),Indicator 2.1.1 - Prevalence of undernourishment,I,A,Annual,SN_ITK_DEFC,Prevalence of undernourishment [2.1.1],036,Australia,_T,Both sexes or no breakdown by sex,_T,All age ranges or no breakdown by age,_T,No breakdown,_T,Total,_T,Total,PT,Percent,_T,Total,_T,No breakdown,_T,No breakdown,2025,,,,0,Units,O,Missing value,,,_X,Not Available,2024-2026,,NaN = A figure was not provided,,,,,,NA,,2.1.1,,AU,,AUS,,3,,,
DATAFLOW,FAO:DF_SDG_2_1_1(1.0),Indicator 2.1.1 - Prevalence of undernourishment,I,A,Annual,SN_ITK_DEFC,Prevalence of undernourishment [2.1.1],036,Australia,_T,Both sexes or no breakdown by sex,_T,All age ranges or no breakdown by age,_T,No breakdown,_T,Total,_T,Total,PT,Percent,_T,Total,_T,No breakdown,_T,No breakdown,2001,,<2.5,,0,Units,E,Estimated value,,,E,Estimated,2000-2002,,3-year average of the period 2000-2002.,,,,,,Food and Agriculture Organization of the United Nations (FAO),,2.1.1,,AU,,AUS,,3,,,
DATAFLOW,FAO:DF_SDG_2_1_1(1.0),Indicator 2.1.1 - Prevalence of undernourishment,I,A,Annual,SN_ITK_DEFC,Prevalence of undernourishment [2.1.1],036,Australia,_T,Both sexes or no breakdown by sex,_T,All age ranges or no breakdown by age,_T,No breakdown,_T,Total,_T,Total,PT,Percent,_T,Total,_T,No breakdown,_T,No breakdown,2002,,<2.5,,0,Units,E,Estimated value,,,E,Estimated,2001-2003,,3-year average of the period 2001-2003.,,,,,,Food and Agriculture Organization of the United Nations (FAO),,2.1.1,,AU,,AUS,,3,,,
DATAFLOW,FAO:DF_SDG_2_1_1(1.0),Indicator 2.1.1 - Prevalence of undernourishment,I,A,Annual,SN_ITK_DEFC,Prevalence of undernourishment [2.1.1],036,Australia,_T,Both sexes or no breakdown by sex,_T,All age ranges or no breakdown by age,_T,No breakdown,_T,Total,_T,Total,PT,Percent,_T,Total,_T,No breakdown,_T,No breakdown,2003,,<2.5,,0,Units,E,Estimated value,,,E,Estimated,2002-2004,,3-year average of the period 2002-2004.,,,,,,Food and Agriculture Organization of the United Nations (FAO),,2.1.1,,AU,,AUS,,3,,,
DATAFLOW,FAO:DF_SDG_2_1_1(1.0),Indicator 2.1.1 - Prevalence of undernourishment,I,A,Annual,SN_ITK_DEFC,Prevalence of undernourishment [2.1.1],036,Australia,_T,Both sexes or no breakdown by sex,_T,All age ranges or no breakdown by age,_T,No breakdown,_T,Total,_T,Total,PT,Percent,_T,Total,_T,No breakdown,_T,No breakdown,2004,,<2.5,,0,Units,E,Estimated value,,,E,Estimated,2003-2005,,3-year average of the period 2003-2005.,,,,,,Food and Agriculture Organization of the United Nations (FAO),,2.1.1,,AU,,AUS,,3,,,
DATAFLOW,FAO:DF_SDG_2_1_1(1.0),Indicator 2.1.1 - Prevalence of undernourishment,I,A,Annual,SN_ITK_DEFC,Prevalence of undernourishment [2.1.1],036,Australia,_T,Both sexes or no breakdown by sex,_T,All age ranges or no breakdown by age,_T,No breakdown,_T,Total,_T,Total,PT,Percent,_T,Total,_T,No breakdown,_T,No breakdown,2005,,<2.5,,0,Units,E,Estimated value,,,E,Estimated,2004-2006,,3-year average of the period 2004-2006.,,,,,,Food and Agriculture Organization of the United Nations (FAO),,2.1.1,,AU,,AUS,,3,,,
DATAFLOW,FAO:DF_SDG_2_1_1(1.0),Indicator 2.1.1 - Prevalence of undernourishment,I,A,Annual,SN_ITK_DEFC,Prevalence of undernourishment [2.1.1],036,Australia,_T,Both sexes or no breakdown by sex,_T,All age ranges or no breakdown by age,_T,No breakdown,_T,Total,_T,Total,PT,Percent,_T,Total,_T,No breakdown,_T,No breakdown,2006,,<2.5,,0,Units,E,Estimated value,,,E,Estimated,2005-2007,,3-year average of the period 2005-2007.,,,,,,Food and Agriculture Organization of the United Nations (FAO),,2.1.1,,AU,,AUS,,3,,,
DATAFLOW,FAO:DF_SDG_2_1_1(1.0),Indicator 2.1.1 - Prevalence of undernourishment,I,A,Annual,SN_ITK_DEFC,Prevalence of undernourishment [2.1.1],036,Australia,_T,Both sexes or no breakdown by sex,_T,All age ranges or no breakdown by age,_T,No breakdown,_T,Total,_T,Total,PT,Percent,_T,Total,_T,No breakdown,_T,No breakdown,2007,,<2.5,,0,Units,E,Estimated value,,,E,Estimated,2006-2008,,3-year average of the period 2006-2008.,,,,,,Food and Agriculture Organization of the United Nations (FAO),,2.1.1,,AU,,AUS,,3,,,
DATAFLOW,FAO:DF_SDG_2_1_1(1.0),Indicator 2.1.1 - Prevalence of undernourishment,I,A,Annual,SN_ITK_DEFC,Prevalence of undernourishment [2.1.1],036,Australia,_T,Both sexes or no breakdown by sex,_T,All age ranges or no breakdown by age,_T,No breakdown,_T,Total,_T,Total,PT,Percent,_T,Total,_T,No breakdown,_T,No breakdown,2008,,<2.5,,0,Units,E,Estimated value,,,E,Estimated,2007-2009,,3-year average of the period 2007-2009.,,,,,,Food and Agriculture Organization of the United Nations (FAO),,2.1.1,,AU,,AUS,,3,,,
DATAFLOW,FAO:DF_SDG_2_1_1(1.0),Indicator 2.1.1 - Prevalence of undernourishment,I,A,Annual,SN_ITK_DEFC,Prevalence of undernourishment [2.1.1],036,Australia,_T,Both sexes or no breakdown by sex,_T,All age ranges or no breakdown by age,_T,No breakdown,_T,Total,_T,Total,PT,Percent,_T,Total,_T,No breakdown,_T,No breakdown,2009,,<2.5,,0,Units,E,Estimated value,,,E,Estimated,2008-2010,,3-year average of the period 2008-2010.,,,,,,Food and Agriculture Organization of the United Nations (FAO),,2.1.1,,AU,,AUS,,3,,,
