key,value
ISO3,AUS
HDR Country Name,Australia
Human Development Groups,Very High
UNDP Developeing Regions,
HDI Rank (2023),7
Human Development Index (value) (1990),0.867
Human Development Index (value) (1991),0.868
Human Development Index (value) (1992),0.868
Human Development Index (value) (1993),0.872
Human Development Index (value) (1994),0.873
Human Development Index (value) (1995),0.882
Human Development Index (value) (1996),0.884
Human Development Index (value) (1997),0.887
Human Development Index (value) (1998),0.891
Human Development Index (value) (1999),0.893
Human Development Index (value) (2000),0.897
Human Development Index (value) (2001),0.9
Human Development Index (value) (2002),0.902
Human Development Index (value) (2003),0.906
Human Development Index (value) (2004),0.91
Human Development Index (value) (2005),0.914
Human Development Index (value) (2006),0.917
Human Development Index (value) (2007),0.919
Human Development Index (value) (2008),0.924
Human Development Index (value) (2009),0.927
Human Development Index (value) (2010),0.929
Human Development Index (value) (2011),0.933
Human Development Index (value) (2012),0.938
Human Development Index (value) (2013),0.935
Human Development Index (value) (2014),0.937
Human Development Index (value) (2015),0.938
Human Development Index (value) (2016),0.939
Human Development Index (value) (2017),0.94
Human Development Index (value) (2018),0.945
Human Development Index (value) (2019),0.947
Human Development Index (value) (2020),0.95
Human Development Index (value) (2021),0.954
Human Development Index (value) (2022),0.952
Human Development Index (value) (2023),0.958
Life Expectancy at Birth (years) (1990),77.041
Life Expectancy at Birth (years) (1991),77.481
Life Expectancy at Birth (years) (1992),77.473
Life Expectancy at Birth (years) (1993),78.006
Life Expectancy at Birth (years) (1994),77.852
Life Expectancy at Birth (years) (1995),78.257
Life Expectancy at Birth (years) (1996),78.344
Life Expectancy at Birth (years) (1997),78.626
Life Expectancy at Birth (years) (1998),79.02
Life Expectancy at Birth (years) (1999),79.277
Life Expectancy at Birth (years) (2000),79.621
Life Expectancy at Birth (years) (2001),80.006
Life Expectancy at Birth (years) (2002),80.052
Life Expectancy at Birth (years) (2003),80.44
Life Expectancy at Birth (years) (2004),80.733
Life Expectancy at Birth (years) (2005),81.092
Life Expectancy at Birth (years) (2006),81.258
Life Expectancy at Birth (years) (2007),81.232
Life Expectancy at Birth (years) (2008),81.427
Life Expectancy at Birth (years) (2009),81.728
Life Expectancy at Birth (years) (2010),82.013
Life Expectancy at Birth (years) (2011),82.091
Life Expectancy at Birth (years) (2012),82.297
Life Expectancy at Birth (years) (2013),82.551
Life Expectancy at Birth (years) (2014),82.518
Life Expectancy at Birth (years) (2015),82.605
Life Expectancy at Birth (years) (2016),82.801
Life Expectancy at Birth (years) (2017),82.718
Life Expectancy at Birth (years) (2018),83.258
Life Expectancy at Birth (years) (2019),83.241
