"Table_Number","Year","Measure","Age","Sex","Indigenous_Status","Remoteness","Description1","Description2","Description3","Description4","Description5","Description6","Description7","Uncertainty","Data_Source","Unit","NSW","Vic","Qld","WA","SA","Tas","ACT","NT","Total","Aust"
"CtG10A.1","2031","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Age-standardised imprisonment rate per 100000 adults at 30 June","","","","","","Trajectory","","Derived from Joint Council National Agreement on Closing the Gap; ABS Prisoners in Australia","rate (AS)","..","..","..","..","..","..","..","..","","1636.6"
"CtG10A.1","2031","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Age-standardised imprisonment rate per 100000 adults at 30 June","","","","","","Linear regression estimates","","Derived from ABS Prisoners in Australia","rate (AS)","2189.2","1335.0","2918.0","5037.8","2801.4","1120.2","1901.6","5355.9","","2939.1"
"CtG10A.1","2031","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Age-standardised imprisonment rate per 100000 adults at 30 June","","","","","","Linear regression estimates","95%CI","Derived from ABS Prisoners in Australia","rate (AS)","485.5","690.1","298.9","1576.4","497.7","275.8","808.2","1133.1","","537.0"
"CtG10A.1","2030","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Age-standardised imprisonment rate per 100000 adults at 30 June","","","","","","Trajectory","","Derived from Joint Council National Agreement on Closing the Gap; ABS Prisoners in Australia","rate (AS)","..","..","..","..","..","..","..","..","","1660.7"
"CtG10A.1","2030","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Age-standardised imprisonment rate per 100000 adults at 30 June","","","","","","Linear regression estimates","","Derived from ABS Prisoners in Australia","rate (AS)","2134.1","1353.4","2810.0","4866.2","2741.8","1078.5","1865.5","5097.0","","2844.7"
"CtG10A.1","2030","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Age-standardised imprisonment rate per 100000 adults at 30 June","","","","","","Linear regression estimates","95%CI","Derived from ABS Prisoners in Australia","rate (AS)","434.2","617.3","267.3","1410.0","445.2","246.7","722.9","1013.4","","480.3"
"CtG10A.1","2029","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Age-standardised imprisonment rate per 100000 adults at 30 June","","","","","","Trajectory","","Derived from Joint Council National Agreement on Closing the Gap; ABS Prisoners in Australia","rate (AS)","..","..","..","..","..","..","..","..","","1684.7"
"CtG10A.1","2029","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Age-standardised imprisonment rate per 100000 adults at 30 June","","","","","","Linear regression estimates","","Derived from ABS Prisoners in Australia","rate (AS)","2078.9","1371.9","2702.0","4694.5","2682.1","1036.9","1829.5","4838.2","","2750.2"
"CtG10A.1","2029","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Age-standardised imprisonment rate per 100000 adults at 30 June","","","","","","Linear regression estimates","95%CI","Derived from ABS Prisoners in Australia","rate (AS)","383.4","544.9","236.0","1244.8","393.0","217.8","638.2","894.7","","424.0"
"CtG10A.1","2028","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Age-standardised imprisonment rate per 100000 adults at 30 June","","","","","","Trajectory","","Derived from Joint Council National Agreement on Closing the Gap; ABS Prisoners in Australia","rate (AS)","..","..","..","..","..","..","..","..","","1708.8"
"CtG10A.1","2028","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Age-standardised imprisonment rate per 100000 adults at 30 June","","","","","","Linear regression estimates","","Derived from ABS Prisoners in Australia","rate (AS)","2023.8","1390.3","2594.0","4522.9","2622.5","995.2","1793.4","4579.4","","2655.7"
"CtG10A.1","2028","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Age-standardised imprisonment rate per 100000 adults at 30 June","","","","","","Linear regression estimates","95%CI","Derived from ABS Prisoners in Australia","rate (AS)","333.0","473.4","205.0","1081.4","341.4","189.2","554.4","777.3","","368.4"
"CtG10A.1","2027","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Age-standardised imprisonment rate per 100000 adults at 30 June","","","","","","Trajectory","","Derived from Joint Council National Agreement on Closing the Gap; ABS Prisoners in Australia","rate (AS)","..","..","..","..","..","..","..","..","","1732.9"
"CtG10A.1","2027","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Age-standardised imprisonment rate per 100000 adults at 30 June","","","","","","Linear regression estimates","","Derived from ABS Prisoners in Australia","rate (AS)","1968.6","1408.8","2485.9","4351.2","2562.9","953.6","1757.4","4320.6","","2561.3"
"CtG10A.1","2027","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Age-standardised imprisonment rate per 100000 adults at 30 June","","","","","","Linear regression estimates","95%CI","Derived from ABS Prisoners in Australia","rate (AS)","283.6","403.1","174.6","920.8","290.7","161.1","472.1","661.8","","313.6"
"CtG10A.1","2026","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Age-standardised imprisonment rate per 100000 adults at 30 June","","","","","","Trajectory","","Derived from Joint Council National Agreement on Closing the Gap; ABS Prisoners in Australia","rate (AS)","..","..","..","..","..","..","..","..","","1756.9"
"CtG10A.1","2026","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Age-standardised imprisonment rate per 100000 adults at 30 June","","","","","","Linear regression estimates","","Derived from ABS Prisoners in Australia","rate (AS)","1913.4","1427.2","2377.9","4179.6","2503.2","911.9","1721.3","4061.7","","2466.8"
"CtG10A.1","2026","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Age-standardised imprisonment rate per 100000 adults at 30 June","","","","","","Linear regression estimates","95%CI","Derived from ABS Prisoners in Australia","rate (AS)","235.5","334.8","145.0","764.7","241.4","133.8","392.0","549.6","","260.5"
"CtG10A.1","2025","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Age-standardised imprisonment rate per 100000 adults at 30 June","","","","","","Actual","","ABS Prisoners in Australia","rate (AS)","1961.7","1636.2","2278.3","4305.9","2526.1","906.6","1792.1","4166.7","","2500.2"
"CtG10A.1","2025","Age-standardised imprisonment rate","18+ years old","All people","Non-Indigenous people","All areas","Age-standardised imprisonment rate per 100000 adults at 30 June","","","","","","Actual","","ABS Prisoners in Australia","rate (AS)","141.0","104.0","175.5","215.9","190.9","148.7","77.6","225.4","","149.1"
"CtG10A.1","2025","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Age-standardised imprisonment rate per 100000 adults at 30 June","","","","","","Trajectory","","Derived from Joint Council National Agreement on Closing the Gap; ABS Prisoners in Australia","rate (AS)","..","..","..","..","..","..","..","..","","1781.0"
"CtG10A.1","2025","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Age-standardised imprisonment rate per 100000 adults at 30 June","","","","","","Linear regression estimates","","Derived from ABS Prisoners in Australia","rate (AS)","1858.3","1445.6","2269.9","4008.0","2443.6","870.2","1685.3","3802.9","","2372.3"
"CtG10A.1","2025","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Age-standardised imprisonment rate per 100000 adults at 30 June","","","","","","Linear regression estimates","95%CI","Derived from ABS Prisoners in Australia","rate (AS)","189.9","269.9","116.9","616.5","194.7","107.8","316.1","443.1","","210.0"
"CtG10A.1","2024","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Age-standardised imprisonment rate per 100000 adults at 30 June","","","","","","Actual","","ABS Prisoners in Australia","rate (AS)","1853.9","1346.8","2204.5","4061.1","2462.9","872.6","1804.0","3373.7","","2318.4"
"CtG10A.1","2024","Age-standardised imprisonment rate","18+ years old","All people","Non-Indigenous people","All areas","Age-standardised imprisonment rate per 100000 adults at 30 June","","","","","","Actual","","ABS Prisoners in Australia","rate (AS)","144.8","96.2","174.7","204.6","191.8","163.8","74.0","181.4","","146.4"
"CtG10A.1","2024","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Age-standardised imprisonment rate per 100000 adults at 30 June","","","","","","Trajectory","","Derived from Joint Council National Agreement on Closing the Gap; ABS Prisoners in Australia","rate (AS)","..","..","..","..","..","..","..","..","","1805.1"
"CtG10A.1","2024","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Age-standardised imprisonment rate per 100000 adults at 30 June","","","","","","Linear regression estimates","","Derived from ABS Prisoners in Australia","rate (AS)","1803.1","1464.1","2161.9","3836.3","2383.9","828.6","1649.2","3544.1","","2277.8"
"CtG10A.1","2024","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Age-standardised imprisonment rate per 100000 adults at 30 June","","","","","","Linear regression estimates","95%CI","Derived from ABS Prisoners in Australia","rate (AS)","148.9","211.7","91.7","483.6","152.7","84.6","247.9","347.6","","164.7"
"CtG10A.1","2023","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Age-standardised imprisonment rate per 100000 adults at 30 June","","","","","","Actual","","ABS Prisoners in Australia","rate (AS)","1569.3","1495.8","2018.0","3353.3","2126.1","754.9","1415.8","3140.9","","2049.6"
"CtG10A.1","2023","Age-standardised imprisonment rate","18+ years old","All people","Non-Indigenous people","All areas","Age-standardised imprisonment rate per 100000 adults at 30 June","","","","","","Actual","","ABS Prisoners in Australia","rate (AS)","150.6","109.9","175.5","191.2","178.4","156.8","75.0","173.6","","149.5"
"CtG10A.1","2023","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Age-standardised imprisonment rate per 100000 adults at 30 June","","","","","","Trajectory","","Derived from Joint Council National Agreement on Closing the Gap; ABS Prisoners in Australia","rate (AS)","..","..","..","..","..","..","..","..","","1829.1"
"CtG10A.1","2023","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Age-standardised imprisonment rate per 100000 adults at 30 June","","","","","","Linear regression estimates","","Derived from ABS Prisoners in Australia","rate (AS)","1748.0","1482.5","2053.9","3664.7","2324.3","786.9","1613.2","3285.2","","2183.4"
"CtG10A.1","2023","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Age-standardised imprisonment rate per 100000 adults at 30 June","","","","","","Linear regression estimates","95%CI","Derived from ABS Prisoners in Australia","rate (AS)","117.7","167.4","72.5","382.3","120.7","66.9","196.0","274.8","","130.2"
"CtG10A.1","2022","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Age-standardised imprisonment rate per 100000 adults at 30 June","","","","","","Actual","","ABS Prisoners in Australia","rate (AS)","1637.3","1335.8","1850.2","2986.9","2192.6","633.9","1371.9","2879.3","","1943.6"
"CtG10A.1","2022","Age-standardised imprisonment rate","18+ years old","All people","Non-Indigenous people","All areas","Age-standardised imprisonment rate per 100000 adults at 30 June","","","","","","Actual","","ABS Prisoners in Australia","rate (AS)","154.2","117.2","167.6","193.9","181.8","132.8","78.9","177.9","","151.2"
"CtG10A.1","2022","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Age-standardised imprisonment rate per 100000 adults at 30 June","","","","","","Trajectory","","Derived from Joint Council National Agreement on Closing the Gap; ABS Prisoners in Australia","rate (AS)","..","..","..","..","..","..","..","..","","1853.2"
"CtG10A.1","2022","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Age-standardised imprisonment rate per 100000 adults at 30 June","","","","","","Linear regression estimates","","Derived from ABS Prisoners in Australia","rate (AS)","1692.8","1500.9","1945.8","3493.0","2264.7","745.3","1577.1","3026.4","","2088.9"
"CtG10A.1","2022","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Age-standardised imprisonment rate per 100000 adults at 30 June","","","","","","Linear regression estimates","95%CI","Derived from ABS Prisoners in Australia","rate (AS)","105.3","149.7","64.8","342.0","108.0","59.8","175.3","245.8","","116.5"
"CtG10A.1","2021","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Age-standardised imprisonment rate per 100000 adults at 30 June","","","","","","Actual","","ABS Prisoners in Australia","rate (AS)","1658.4","1507.1","1933.8","3202.9","2252.6","710.7","1443.9","2664.4","","2004.6"
"CtG10A.1","2021","Age-standardised imprisonment rate","18+ years old","All people","Non-Indigenous people","All areas","Age-standardised imprisonment rate per 100000 adults at 30 June","","","","","","Actual","","ABS Prisoners in Australia","rate (AS)","168.0","130.5","185.4","211.0","193.2","136.8","78.5","190.2","","165.3"
"CtG10A.1","2021","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Age-standardised imprisonment rate per 100000 adults at 30 June","","","","","","Trajectory","","Derived from Joint Council National Agreement on Closing the Gap; ABS Prisoners in Australia","rate (AS)","..","..","..","..","..","..","..","..","","1877.3"
"CtG10A.1","2021","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Age-standardised imprisonment rate per 100000 adults at 30 June","","","","","","Linear regression estimates","","Derived from ABS Prisoners in Australia","rate (AS)","1637.6","1519.4","1837.8","3321.4","2205.0","703.6","1541.1","2767.6","","1994.4"
"CtG10A.1","2021","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Age-standardised imprisonment rate per 100000 adults at 30 June","","","","","","Linear regression estimates","95%CI","Derived from ABS Prisoners in Australia","rate (AS)","117.7","167.4","72.5","382.3","120.7","66.9","196.0","274.8","","130.2"
"CtG10A.1","2020","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Age-standardised imprisonment rate per 100000 adults at 30 June","","","","","","Actual","","ABS Prisoners in Australia","rate (AS)","1547.7","1447.3","1704.5","3239.0","2169.4","672.0","1689.6","2402.9","","1880.5"
"CtG10A.1","2020","Age-standardised imprisonment rate","18+ years old","All people","Non-Indigenous people","All areas","Age-standardised imprisonment rate per 100000 adults at 30 June","","","","","","Actual","","ABS Prisoners in Australia","rate (AS)","164.4","128.5","161.2","215.9","187.5","149.8","96.8","197.3","","159.5"
"CtG10A.1","2020","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Age-standardised imprisonment rate per 100000 adults at 30 June","","","","","","Trajectory","","Derived from Joint Council National Agreement on Closing the Gap; ABS Prisoners in Australia","rate (AS)","..","..","..","..","..","..","..","..","","1901.3"
"CtG10A.1","2020","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Age-standardised imprisonment rate per 100000 adults at 30 June","","","","","","Linear regression estimates","","Derived from ABS Prisoners in Australia","rate (AS)","1582.5","1537.8","1729.8","3149.7","2145.4","662.0","1505.0","2508.8","","1900.0"
"CtG10A.1","2020","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Age-standardised imprisonment rate per 100000 adults at 30 June","","","","","","Linear regression estimates","95%CI","Derived from ABS Prisoners in Australia","rate (AS)","148.9","211.7","91.7","483.6","152.7","84.6","247.9","347.6","","164.7"
"CtG10A.1","2019","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Age-standardised imprisonment rate per 100000 adults at 30 June","","","","","","Actual","","ABS Prisoners in Australia","rate (AS)","1621.3","1737.5","1631.5","3302.1","2123.0","666.3","1522.5","2557.0","","1925.4"
"CtG10A.1","2019","Age-standardised imprisonment rate","18+ years old","All people","Non-Indigenous people","All areas","Age-standardised imprisonment rate per 100000 adults at 30 June","","","","","","Actual","","ABS Prisoners in Australia","rate (AS)","176.6","149.0","171.3","227.6","181.2","162.6","106.1","211.1","","172.2"
"CtG10A.1","2019","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Age-standardised imprisonment rate per 100000 adults at 30 June","","","","","","Trajectory","","Derived from Joint Council National Agreement on Closing the Gap; ABS Prisoners in Australia","rate (AS)","..","..","..","..","..","..","..","..","","1925.4"
"CtG10A.1","2019","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Age-standardised imprisonment rate per 100000 adults at 30 June","","","","","","Linear regression estimates","","Derived from ABS Prisoners in Australia","rate (AS)","1527.3","1556.2","1621.8","2978.1","2085.8","620.3","1469.0","2249.9","","1805.5"
"CtG10A.1","2019","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Age-standardised imprisonment rate per 100000 adults at 30 June","","","","","","Linear regression estimates","95%CI","Derived from ABS Prisoners in Australia","rate (AS)","189.9","269.9","116.9","616.5","194.7","107.8","316.1","443.1","","210.0"
"CtG10A.1","2019 to 2025","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Age-standardised imprisonment rate per 100000 adults at 30 June","","","","","","Estimated annual change","","Derived from ABS Prisoners in Australia","rate (AS)/year","55.16","-18.44","108.02","171.64","59.64","41.65","36.05","258.83","","94.47"
"CtG10A.1","2019 to 2025","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Age-standardised imprisonment rate per 100000 adults at 30 June","","","","","","Assessment of progress","","Derived from ABS Prisoners in Australia","Level","-1","1","-1","-1","-1","-1","-1","-1","","-1"
"CtG10A.1","2019 to 2025","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Age-standardised imprisonment rate per 100000 adults at 30 June","","","","","","Confidence in assessment of progress","","Derived from ABS Prisoners in Australia","Level","High","Low","High","High","High","High","Low","High","","High"
"CtG10A.1","2018","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Age-standardised imprisonment rate per 100000 adults at 30 June","","","","","","Actual","","ABS Prisoners in Australia","rate (AS)","1626.5","1444.4","1548.8","3387.5","2066.8","563.2","1712.4","2665.1","","1887.4"
"CtG10A.1","2018","Age-standardised imprisonment rate","18+ years old","All people","Non-Indigenous people","All areas","Age-standardised imprisonment rate per 100000 adults at 30 June","","","","","","Actual","","ABS Prisoners in Australia","rate (AS)","185.9","146.6","176.2","224.1","196.5","152.7","110.0","202.5","","174.4"
"CtG10A.1","2017","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Age-standardised imprisonment rate per 100000 adults at 30 June","","","","","","Actual","","ABS Prisoners in Australia","rate (AS)","1567.9","1302.4","1574.2","3173.9","2218.0","581.0","1501.4","2448.7","","1824.5"
"CtG10A.1","2017","Age-standardised imprisonment rate","18+ years old","All people","Non-Indigenous people","All areas","Age-standardised imprisonment rate per 100000 adults at 30 June","","","","","","Actual","","ABS Prisoners in Australia","rate (AS)","180.1","140.4","168.4","228.7","198.8","149.6","108.0","181.7","","170.0"
