domain,dimension,indicator,Date,value,boundary
social,equality,gender_inequality_index,2000,0.153,0
social,equality,gender_inequality_index,2001,0.152,0
social,equality,gender_inequality_index,2002,0.146,0
social,equality,gender_inequality_index,2003,0.141,0
social,equality,gender_inequality_index,2004,0.137,0
social,equality,gender_inequality_index,2005,0.137,0
social,equality,gender_inequality_index,2006,0.135,0
social,equality,gender_inequality_index,2007,0.136,0
social,equality,gender_inequality_index,2008,0.14,0
social,equality,gender_inequality_index,2009,0.137,0
social,equality,gender_inequality_index,2010,0.137,0
social,equality,gender_inequality_index,2011,0.132,0
social,equality,gender_inequality_index,2012,0.131,0
social,equality,gender_inequality_index,2013,0.122,0
social,equality,gender_inequality_index,2014,0.116,0
social,equality,gender_inequality_index,2015,0.109,0
social,equality,gender_inequality_index,2016,0.101,0
social,equality,gender_inequality_index,2017,0.094,0
social,equality,gender_inequality_index,2018,0.091,0
social,equality,gender_inequality_index,2019,0.079,0
social,equality,gender_inequality_index,2020,0.072,0
social,equality,gender_inequality_index,2021,0.065,0
social,equality,gender_inequality_index,2022,0.056,0
social,equality,gender_inequality_index,2023,0.056,0
