domain,dimension,indicator,Date,value,boundary
social,income and work,youth_neet,2004,9.9261808,0
social,income and work,youth_neet,2005,9.5541849,0
social,income and work,youth_neet,2006,9.3154173,0
social,income and work,youth_neet,2007,8.6517601,0
social,income and work,youth_neet,2008,8.5522385,0
social,income and work,youth_neet,2009,9.9969006,0
social,income and work,youth_neet,2010,9.6901541,0
social,income and work,youth_neet,2011,9.868906,0
social,income and work,youth_neet,2012,9.8566074,0
social,income and work,youth_neet,2013,10.852316,0
social,income and work,youth_neet,2014,10.389955,0
social,income and work,youth_neet,2015,9.7582693,0
social,income and work,youth_neet,2016,8.9274702,0
social,income and work,youth_neet,2017,8.6633263,0
social,income and work,youth_neet,2018,8.8408089,0
social,income and work,youth_neet,2019,8.6564646,0
social,income and work,youth_neet,2020,11.860934,0
social,income and work,youth_neet,2021,8.4608145,0
social,income and work,youth_neet,2022,7.8311672,0
social,income and work,youth_neet,2023,7.4914088,0
social,income and work,youth_neet,2024,8.5116071701,0
