domain,dimension,indicator,Date,value,boundary
social,energy,prop_access_electricity,2000,100.0,100
social,energy,prop_access_electricity,2001,100.0,100
social,energy,prop_access_electricity,2002,100.0,100
social,energy,prop_access_electricity,2003,100.0,100
social,energy,prop_access_electricity,2004,100.0,100
social,energy,prop_access_electricity,2005,100.0,100
social,energy,prop_access_electricity,2006,100.0,100
social,energy,prop_access_electricity,2007,100.0,100
social,energy,prop_access_electricity,2008,100.0,100
social,energy,prop_access_electricity,2009,100.0,100
social,energy,prop_access_electricity,2010,100.0,100
social,energy,prop_access_electricity,2011,100.0,100
social,energy,prop_access_electricity,2012,100.0,100
social,energy,prop_access_electricity,2013,100.0,100
social,energy,prop_access_electricity,2014,100.0,100
social,energy,prop_access_electricity,2015,100.0,100
social,energy,prop_access_electricity,2016,100.0,100
social,energy,prop_access_electricity,2017,100.0,100
social,energy,prop_access_electricity,2018,100.0,100
social,energy,prop_access_electricity,2019,100.0,100
social,energy,prop_access_electricity,2020,100.0,100
social,energy,prop_access_electricity,2021,100.0,100
social,energy,prop_access_electricity,2022,100.0,100
social,energy,prop_access_electricity,2023,100.0,100
social,energy,prop_access_electricity,2024,100.0,100
