domain,dimension,indicator,Date,value,boundary
social,energy,prop_access_fuel_cook_clean_light,2000,98.0,100
social,energy,prop_access_fuel_cook_clean_light,2001,99.0,100
social,energy,prop_access_fuel_cook_clean_light,2002,99.0,100
social,energy,prop_access_fuel_cook_clean_light,2003,99.0,100
social,energy,prop_access_fuel_cook_clean_light,2004,99.0,100
social,energy,prop_access_fuel_cook_clean_light,2005,99.0,100
social,energy,prop_access_fuel_cook_clean_light,2006,99.0,100
social,energy,prop_access_fuel_cook_clean_light,2007,99.0,100
social,energy,prop_access_fuel_cook_clean_light,2008,99.0,100
social,energy,prop_access_fuel_cook_clean_light,2009,99.0,100
social,energy,prop_access_fuel_cook_clean_light,2010,99.0,100
social,energy,prop_access_fuel_cook_clean_light,2011,99.0,100
social,energy,prop_access_fuel_cook_clean_light,2012,99.0,100
social,energy,prop_access_fuel_cook_clean_light,2013,99.0,100
social,energy,prop_access_fuel_cook_clean_light,2014,99.0,100
social,energy,prop_access_fuel_cook_clean_light,2015,100.0,100
social,energy,prop_access_fuel_cook_clean_light,2016,100.0,100
social,energy,prop_access_fuel_cook_clean_light,2017,100.0,100
social,energy,prop_access_fuel_cook_clean_light,2018,100.0,100
social,energy,prop_access_fuel_cook_clean_light,2019,100.0,100
social,energy,prop_access_fuel_cook_clean_light,2020,100.0,100
social,energy,prop_access_fuel_cook_clean_light,2021,100.0,100
social,energy,prop_access_fuel_cook_clean_light,2022,100.0,100
social,energy,prop_access_fuel_cook_clean_light,2023,100.0,100
social,energy,prop_access_fuel_cook_clean_light,2024,100.0,100
