domain,dimension,indicator,Date,value,boundary
social,conectivity,prop_access_to_internet,2000,46.8,100
social,conectivity,prop_access_to_internet,2001,52.7,100
social,conectivity,prop_access_to_internet,2005,63.0,100
social,conectivity,prop_access_to_internet,2006,66.0,100
social,conectivity,prop_access_to_internet,2007,69.5,100
social,conectivity,prop_access_to_internet,2008,71.7,100
social,conectivity,prop_access_to_internet,2009,74.3,100
social,conectivity,prop_access_to_internet,2010,76.0,100
social,conectivity,prop_access_to_internet,2011,79.5,100
social,conectivity,prop_access_to_internet,2012,79.0,100
social,conectivity,prop_access_to_internet,2013,83.5,100
social,conectivity,prop_access_to_internet,2014,84.0,100
social,conectivity,prop_access_to_internet,2015,84.6,100
social,conectivity,prop_access_to_internet,2016,86.5,100
social,conectivity,prop_access_to_internet,2017,86.5,100
social,conectivity,prop_access_to_internet,2018,90.0,100
social,conectivity,prop_access_to_internet,2019,93.6,100
social,conectivity,prop_access_to_internet,2020,94.7,100
social,conectivity,prop_access_to_internet,2021,97.0,100
social,conectivity,prop_access_to_internet,2022,96.1,100
social,conectivity,prop_access_to_internet,2023,96.1,100
social,conectivity,prop_access_to_internet,2024,96.1,100
