domain,dimension,indicator,Date,value,boundary
social,water and sanitation,safe_sanitation,2000,93.73018646,100
social,water and sanitation,safe_sanitation,2001,93.81533051,100
social,water and sanitation,safe_sanitation,2002,93.90046692,100
social,water and sanitation,safe_sanitation,2003,93.98561096,100
social,water and sanitation,safe_sanitation,2004,94.07074738,100
social,water and sanitation,safe_sanitation,2005,94.15589142,100
social,water and sanitation,safe_sanitation,2006,94.24102783,100
social,water and sanitation,safe_sanitation,2007,94.32617188,100
social,water and sanitation,safe_sanitation,2008,94.41130829,100
social,water and sanitation,safe_sanitation,2009,94.49645233,100
social,water and sanitation,safe_sanitation,2010,94.58158875,100
social,water and sanitation,safe_sanitation,2011,94.66672516,100
social,water and sanitation,safe_sanitation,2012,94.7518692,100
social,water and sanitation,safe_sanitation,2013,94.83700562,100
social,water and sanitation,safe_sanitation,2014,94.92214966,100
social,water and sanitation,safe_sanitation,2015,95.00728607,100
social,water and sanitation,safe_sanitation,2016,95.09243011,100
social,water and sanitation,safe_sanitation,2017,95.17756653,100
social,water and sanitation,safe_sanitation,2018,95.26271057,100
social,water and sanitation,safe_sanitation,2019,95.34802246,100
social,water and sanitation,safe_sanitation,2020,95.43313599,100
social,water and sanitation,safe_sanitation,2021,95.51807404,100
social,water and sanitation,safe_sanitation,2022,95.60301208,100
social,water and sanitation,safe_sanitation,2023,95.68795776,100
social,water and sanitation,safe_sanitation,2024,95.77289581,100
