domain,dimension,indicator,Date,value,boundary
social,water and sanitation,safe_Water,2000,98.28848267,100
social,water and sanitation,safe_Water,2001,98.28848267,100
social,water and sanitation,safe_Water,2002,98.28848267,100
social,water and sanitation,safe_Water,2003,98.42049408,100
social,water and sanitation,safe_Water,2004,98.55252838,100
social,water and sanitation,safe_Water,2005,98.68458557,100
social,water and sanitation,safe_Water,2006,98.81666565,100
social,water and sanitation,safe_Water,2007,98.94877625,100
social,water and sanitation,safe_Water,2008,99.0809021,100
social,water and sanitation,safe_Water,2009,99.21305847,100
social,water and sanitation,safe_Water,2010,99.34524536,100
social,water and sanitation,safe_Water,2011,99.47744751,100
social,water and sanitation,safe_Water,2012,99.60967255,100
social,water and sanitation,safe_Water,2013,99.67190552,100
social,water and sanitation,safe_Water,2014,99.67762756,100
social,water and sanitation,safe_Water,2015,99.68334961,100
social,water and sanitation,safe_Water,2016,99.67910004,100
social,water and sanitation,safe_Water,2017,99.67485046,100
social,water and sanitation,safe_Water,2018,99.67060089,100
social,water and sanitation,safe_Water,2019,99.66634369,100
social,water and sanitation,safe_Water,2020,99.66209412,100
social,water and sanitation,safe_Water,2021,99.65784454,100
social,water and sanitation,safe_Water,2022,99.65359497,100
social,water and sanitation,safe_Water,2023,99.6493454,100
social,water and sanitation,safe_Water,2024,99.64509583,100
