domain,dimension,indicator,Date,value,boundary
social,peace and justice,homicide_rate_100000,2000,1.89,5
social,peace and justice,homicide_rate_100000,2001,1.79,5
social,peace and justice,homicide_rate_100000,2002,1.87,5
social,peace and justice,homicide_rate_100000,2003,1.52,5
social,peace and justice,homicide_rate_100000,2004,1.31,5
social,peace and justice,homicide_rate_100000,2005,1.28,5
social,peace and justice,homicide_rate_100000,2006,1.36,5
social,peace and justice,homicide_rate_100000,2007,1.22,5
social,peace and justice,homicide_rate_100000,2008,1.22,5
social,peace and justice,homicide_rate_100000,2009,1.21,5
social,peace and justice,homicide_rate_100000,2010,1.04,5
social,peace and justice,homicide_rate_100000,2011,1.1,5
social,peace and justice,homicide_rate_100000,2012,1.06,5
social,peace and justice,homicide_rate_100000,2013,1.05,5
social,peace and justice,homicide_rate_100000,2014,1.03,5
social,peace and justice,homicide_rate_100000,2015,0.99,5
social,peace and justice,homicide_rate_100000,2016,0.93,5
social,peace and justice,homicide_rate_100000,2017,0.84,5
social,peace and justice,homicide_rate_100000,2018,0.88,5
social,peace and justice,homicide_rate_100000,2019,0.88,5
social,peace and justice,homicide_rate_100000,2020,0.86,5
social,peace and justice,homicide_rate_100000,2021,0.74,5
social,peace and justice,homicide_rate_100000,2022,0.84,5
social,peace and justice,homicide_rate_100000,2023,0.84,5
social,peace and justice,homicide_rate_100000,2024,0.94,5
