domain,dimension,indicator,Date,value,boundary
social,equality,perc_more_ind_prison_compared_to_non_ind_prisons_per_100000,2016,9.614723926380368,0
social,equality,perc_more_ind_prison_compared_to_non_ind_prisons_per_100000,2017,9.73235294117647,0
social,equality,perc_more_ind_prison_compared_to_non_ind_prisons_per_100000,2018,9.822247706422019,0
social,equality,perc_more_ind_prison_compared_to_non_ind_prisons_per_100000,2019,10.181184668989548,0
social,equality,perc_more_ind_prison_compared_to_non_ind_prisons_per_100000,2020,10.789968652037617,0
social,equality,perc_more_ind_prison_compared_to_non_ind_prisons_per_100000,2021,11.12704174228675,0
social,equality,perc_more_ind_prison_compared_to_non_ind_prisons_per_100000,2022,11.854497354497354,0
social,equality,perc_more_ind_prison_compared_to_non_ind_prisons_per_100000,2023,12.709698996655518,0
social,equality,perc_more_ind_prison_compared_to_non_ind_prisons_per_100000,2024,14.836065573770492,0
social,equality,perc_more_ind_prison_compared_to_non_ind_prisons_per_100000,2025,15.768611670020121,0
