domain,dimension,indicator,Date,value,boundary
social,social cohesion,lack_social_support,2006,3.3247326209,0
social,social cohesion,lack_social_support,2007,3.3247326209,0
social,social cohesion,lack_social_support,2008,4.9265433236,0
social,social cohesion,lack_social_support,2009,4.9265433236,0
social,social cohesion,lack_social_support,2010,4.9265433236,0
social,social cohesion,lack_social_support,2011,5.3241850172,0
social,social cohesion,lack_social_support,2012,5.3241850172,0
social,social cohesion,lack_social_support,2013,5.3241850172,0
social,social cohesion,lack_social_support,2014,6.0415962411,0
social,social cohesion,lack_social_support,2015,6.0415962411,0
social,social cohesion,lack_social_support,2016,6.0415962411,0
social,social cohesion,lack_social_support,2017,5.550077771,0
social,social cohesion,lack_social_support,2018,5.550077771,0
social,social cohesion,lack_social_support,2019,5.550077771,0
social,social cohesion,lack_social_support,2020,6.7136780167,0
social,social cohesion,lack_social_support,2021,6.7136780167,0
social,social cohesion,lack_social_support,2022,6.7136780167,0
social,social cohesion,lack_social_support,2023,10.0431932573,0
social,social cohesion,lack_social_support,2024,10.0431932573,0
social,social cohesion,lack_social_support,2025,10.0431932573,0
