domain,dimension,indicator,Date,value,boundary
social,social cohesion,palma_ratio,2001,2.7742782,2
social,social cohesion,palma_ratio,2002,3.093839,2
social,social cohesion,palma_ratio,2003,2.9351935,2
social,social cohesion,palma_ratio,2004,2.9963996,2
social,social cohesion,palma_ratio,2005,3.1633804,2
social,social cohesion,palma_ratio,2006,3.1616821,2
social,social cohesion,palma_ratio,2007,3.0923913,2
social,social cohesion,palma_ratio,2008,3.261407,2
social,social cohesion,palma_ratio,2009,3.2014585,2
social,social cohesion,palma_ratio,2010,3.1873858,2
social,social cohesion,palma_ratio,2011,3.1809955,2
social,social cohesion,palma_ratio,2012,3.2065814,2
social,social cohesion,palma_ratio,2013,3.2390697,2
social,social cohesion,palma_ratio,2014,3.2247918,2
social,social cohesion,palma_ratio,2015,3.2682464,2
social,social cohesion,palma_ratio,2016,3.1710527,2
social,social cohesion,palma_ratio,2017,3.2507095,2
social,social cohesion,palma_ratio,2018,3.0972476,2
social,social cohesion,palma_ratio,2019,3.1432664,2
social,social cohesion,palma_ratio,2020,3.1133456,2
social,social cohesion,palma_ratio,2021,3.2939534,2
social,social cohesion,palma_ratio,2022,3.3273416,2
