domain,dimension,indicator,Date,value,boundary
social,health,universal_health_coverage_index,2000,84.0,95
social,health,universal_health_coverage_index,2001,85.0,95
social,health,universal_health_coverage_index,2002,85.0,95
social,health,universal_health_coverage_index,2003,86.0,95
social,health,universal_health_coverage_index,2004,86.0,95
social,health,universal_health_coverage_index,2005,86.0,95
social,health,universal_health_coverage_index,2006,86.0,95
social,health,universal_health_coverage_index,2007,87.0,95
social,health,universal_health_coverage_index,2008,87.0,95
social,health,universal_health_coverage_index,2009,87.0,95
social,health,universal_health_coverage_index,2010,88.0,95
social,health,universal_health_coverage_index,2011,88.0,95
social,health,universal_health_coverage_index,2012,89.0,95
social,health,universal_health_coverage_index,2013,89.0,95
social,health,universal_health_coverage_index,2014,89.0,95
social,health,universal_health_coverage_index,2015,89.0,95
social,health,universal_health_coverage_index,2016,89.0,95
social,health,universal_health_coverage_index,2017,89.0,95
social,health,universal_health_coverage_index,2018,89.0,95
social,health,universal_health_coverage_index,2019,89.0,95
social,health,universal_health_coverage_index,2020,89.0,95
social,health,universal_health_coverage_index,2021,89.0,95
social,health,universal_health_coverage_index,2022,89.0,95
social,health,universal_health_coverage_index,2023,89.0,95
