domain,dimension,indicator,Date,value,boundary
social,health,under_5_mort_Rate_per_1000_live_births,2000,6.19188044,1
social,health,under_5_mort_Rate_per_1000_live_births,2001,6.07745781,1
social,health,under_5_mort_Rate_per_1000_live_births,2002,5.983026608,1
social,health,under_5_mort_Rate_per_1000_live_births,2003,5.908928649,1
social,health,under_5_mort_Rate_per_1000_live_births,2004,5.831027056,1
social,health,under_5_mort_Rate_per_1000_live_births,2005,5.723940932,1
social,health,under_5_mort_Rate_per_1000_live_births,2006,5.582402472,1
social,health,under_5_mort_Rate_per_1000_live_births,2007,5.412019482,1
social,health,under_5_mort_Rate_per_1000_live_births,2008,5.215773447,1
social,health,under_5_mort_Rate_per_1000_live_births,2009,5.000087539,1
social,health,under_5_mort_Rate_per_1000_live_births,2010,4.766181656,1
social,health,under_5_mort_Rate_per_1000_live_births,2011,4.532051218,1
social,health,under_5_mort_Rate_per_1000_live_births,2012,4.314755777,1
social,health,under_5_mort_Rate_per_1000_live_births,2013,4.127335719,1
social,health,under_5_mort_Rate_per_1000_live_births,2014,3.980898001,1
social,health,under_5_mort_Rate_per_1000_live_births,2015,3.883152099,1
social,health,under_5_mort_Rate_per_1000_live_births,2016,3.82795709,1
social,health,under_5_mort_Rate_per_1000_live_births,2017,3.801624823,1
social,health,under_5_mort_Rate_per_1000_live_births,2018,3.792094729,1
social,health,under_5_mort_Rate_per_1000_live_births,2019,3.786011571,1
social,health,under_5_mort_Rate_per_1000_live_births,2020,3.773206484,1
social,health,under_5_mort_Rate_per_1000_live_births,2021,3.747973222,1
social,health,under_5_mort_Rate_per_1000_live_births,2022,3.711634145,1
social,health,under_5_mort_Rate_per_1000_live_births,2023,3.664211014,1
social,health,under_5_mort_Rate_per_1000_live_births,2024,3.606601431,1
